mem: 94087967428308, val: 146
mem: 94087967428307, val: 143
mem: 94087967428306, val: 224
mem: 94087967428305, val: 78
mem: 94087967428304, val: 208
mem: 94087967428303, val: 0
mem: 94087967428302, val: 0
mem: 94087967428301, val: 85
mem: 94087967428300, val: 146
mem: 94087967428299, val: 143
mem: 94087967428298, val: 72
mem: 94087967428297, val: 29
mem: 94087967428296, val: 48
mem: 94087967428295, val: 0
mem: 94087967428294, val: 0
mem: 94087967428293, val: 85
mem: 94087967428292, val: 146
mem: 94087967428291, val: 143
mem: 94087967428290, val: 224
mem: 94087967428289, val: 79
mem: 94087967428288, val: 248
mem: 94087967428287, val: 0
mem: 94087967428286, val: 0
mem: 94087967428285, val: 85
mem: 94087967428284, val: 146
mem: 94087967428283, val: 143
mem: 94087967428282, val: 224
mem: 94087967428281, val: 79
mem: 94087967428280, val: 248
mem: 94087967428279, val: 0
mem: 94087967428278, val: 0
mem: 94087967428277, val: 85
mem: 94087967428276, val: 146
mem: 94087967428275, val: 143
mem: 94087967428274, val: 72
mem: 94087967428273, val: 29
mem: 94087967428272, val: 48
mem: 94087967428271, val: 0
mem: 94087967428270, val: 0
mem: 94087967428269, val: 85
mem: 94087967428268, val: 146
mem: 94087967428267, val: 143
mem: 94087967428266, val: 72
mem: 94087967428265, val: 26
mem: 94087967428264, val: 64
mem: 94087967428263, val: 0
mem: 94087967428262, val: 0
mem: 94087967428261, val: 85
mem: 94087967428260, val: 146
mem: 94087967428259, val: 143
mem: 94087967428258, val: 224
mem: 94087967428257, val: 78
mem: 94087967428256, val: 160
mem: 94087967428255, val: 0
mem: 94087967428254, val: 0
mem: 94087967428253, val: 85
mem: 94087967428252, val: 146
mem: 94087967428251, val: 143
mem: 94087967428250, val: 69
mem: 94087967428249, val: 107
mem: 94087967428248, val: 151
mem: 94087967428247, val: 0
mem: 94087967428246, val: 0
mem: 94087967428245, val: 0
mem: 94087967428244, val: 0
mem: 94087967428243, val: 0
mem: 94087967428242, val: 0
mem: 94087967428241, val: 0
mem: 94087967428240, val: 2
mem: 94087967428239, val: 0
mem: 94087967428238, val: 0
mem: 94087967428237, val: 85
mem: 94087967428236, val: 146
mem: 94087967428235, val: 143
mem: 94087967428234, val: 224
mem: 94087967428233, val: 79
mem: 94087967428232, val: 200
mem: 94087967428231, val: 0
mem: 94087967428230, val: 0
mem: 94087967428229, val: 85
mem: 94087967428228, val: 146
mem: 94087967428227, val: 143
mem: 94087967428226, val: 224
mem: 94087967428225, val: 79
mem: 94087967428224, val: 60
mem: 94087967428223, val: 1
mem: 94087967428222, val: 0
mem: 94087967428221, val: 85
mem: 94087967428220, val: 146
mem: 94087967428219, val: 143
mem: 94087967428218, val: 73
mem: 94087967428217, val: 15
mem: 94087967428216, val: 184
mem: 94087967428215, val: 0
mem: 94087967428214, val: 0
mem: 94087967428213, val: 85
mem: 94087967428212, val: 146
mem: 94087967428211, val: 143
mem: 94087967428210, val: 72
mem: 94087967428209, val: 26
mem: 94087967428208, val: 64
mem: 94087967428207, val: 0
mem: 94087967428206, val: 0
mem: 94087967428205, val: 0
mem: 94087967428204, val: 0
mem: 94087967428203, val: 0
mem: 94087967428202, val: 0
mem: 94087967428201, val: 0
mem: 94087967428200, val: 0
mem: 94087967428199, val: 0
mem: 94087967428198, val: 0
mem: 94087967428197, val: 85
mem: 94087967428196, val: 146
mem: 94087967428195, val: 143
mem: 94087967428194, val: 224
mem: 94087967428193, val: 78
mem: 94087967428192, val: 96
mem: 94087967428191, val: 0
mem: 94087967428190, val: 0
mem: 94087967428189, val: 0
mem: 94087967428188, val: 0
mem: 94087967428187, val: 0
mem: 94087967428186, val: 0
mem: 94087967428185, val: 0
mem: 94087967428184, val: 2
mem: 94087967428183, val: 0
mem: 94087967428182, val: 0
mem: 94087967428181, val: 85
mem: 94087967428180, val: 146
mem: 94087967428179, val: 143
mem: 94087967428178, val: 224
mem: 94087967428177, val: 79
mem: 94087967428176, val: 200
mem: 94087967428175, val: 0
mem: 94087967428174, val: 0
mem: 94087967428173, val: 85
mem: 94087967428172, val: 146
mem: 94087967428171, val: 143
mem: 94087967428170, val: 72
mem: 94087967428169, val: 26
mem: 94087967428168, val: 64
mem: 94087967428167, val: 0
mem: 94087967428166, val: 0
mem: 94087967428165, val: 0
mem: 94087967428164, val: 0
mem: 94087967428163, val: 0
mem: 94087967428162, val: 0
mem: 94087967428161, val: 0
mem: 94087967428160, val: 0
mem: 94087967428159, val: 0
mem: 94087967428158, val: 0
mem: 94087967428157, val: 0
mem: 94087967428156, val: 0
mem: 94087967428155, val: 0
mem: 94087967428154, val: 0
mem: 94087967428153, val: 0
mem: 94087967428152, val: 3
mem: 94087967428151, val: 0
mem: 94087967428150, val: 0
mem: 94087967428149, val: 85
mem: 94087967428148, val: 146
mem: 94087967428147, val: 143
mem: 94087967428146, val: 73
mem: 94087967428145, val: 15
mem: 94087967428144, val: 184
mem: 94087967428143, val: 0
mem: 94087967428142, val: 0
mem: 94087967428141, val: 0
mem: 94087967428140, val: 0
mem: 94087967428139, val: 0
mem: 94087967428138, val: 0
mem: 94087967428137, val: 1
mem: 94087967428136, val: 152
mem: 94087967428135, val: 0
mem: 94087967428134, val: 0
mem: 94087967428133, val: 85
mem: 94087967428132, val: 146
mem: 94087967428131, val: 143
mem: 94087967428130, val: 224
mem: 94087967428129, val: 78
mem: 94087967428128, val: 104
mem: 94087967428127, val: 0
mem: 94087967428126, val: 0
mem: 94087967428125, val: 85
mem: 94087967428124, val: 146
mem: 94087967428123, val: 143
mem: 94087967428122, val: 69
mem: 94087967428121, val: 161
